artist,day,rating,link
Radiolucent,Thursday,10,https://open.spotify.com/artist/22pkaIUWbOP8M7zOFkNVSG
Unlocking the Truth,Thursday,8,https://open.spotify.com/artist/10oEnnt8mMF3OrA3qIp05X
Imam Baildi,Thursday,6,https://open.spotify.com/artist/3YSKQqV2uJpdbiiwowgOdD
Raury,Thursday,3,https://open.spotify.com/artist/2PU4qFehXQF7WnlFsJpBiJ
Houndmouth,Thursday,6,https://open.spotify.com/artist/7EGwUS3c5dXduO4sMyLWC5
Tove Lo,Thursday,9,https://open.spotify.com/artist/4NHQUGzhtTLFvgF5SZesLK
Gramatik,Thursday,6,https://open.spotify.com/artist/179BpmLkQCRIoU68Co80f5
Brownout,Friday,8,https://open.spotify.com/artist/75ITBSKqlC5hlS4PZ2XP1S
Royal Blood,Friday,10,https://open.spotify.com/artist/2S5hlvw4CMtMGswFtfdK15
Moon Taxi,Friday,6,https://open.spotify.com/artist/5DK8eK7fjvRsziXzyr3sFA
Guster,Friday,10,https://open.spotify.com/artist/34XlPCFfB4vT7P1ekWq9Jc
Ben Folds & Ymusic,Friday,8,https://open.spotify.com/artist/55tif8708yyDQlSjh3Trdu
Ben Harper & The Innocent Criminals,Friday,9,https://open.spotify.com/artist/7sJ9LR0mCMgFlzJ6Y9xP64
Earth Wind & Fire,Friday,10,https://open.spotify.com/artist/4QQgXkCYTt3BlENzhyNETg
Deadmau5,Friday,3,https://open.spotify.com/artist/2CIMQHirSU0MQqyYHq0eOx
Odesza,Friday,7,https://open.spotify.com/artist/21mKp7DqtSNHhCAU2ugvUw
Songhoy Blues,Saturday,7,https://open.spotify.com/artist/5fpQ5Qt2BKgoVBSMw4Z17Z
Kevin Garrett,Saturday,9,https://open.spotify.com/artist/56tbeL5xhBPxby544GuK3E
Rhiannon Giddens,Saturday,4,https://open.spotify.com/artist/1EI0NtLHoh9KBziYCeN1vM
Gary Clark Jr.,Saturday,8,https://open.spotify.com/artist/01aC2ikO4Xgb2LUpf9JfKp
My Morning Jacket,Saturday,6,https://open.spotify.com/artist/43O3c6wewpzPKwVaGEEtBM
Childish Gambino,Saturday,7,https://open.spotify.com/artist/73sIBHcqh3Z3NyqHKZ7FOL
Mumford & Sons,Saturday,10,https://open.spotify.com/artist/3gd8FJtBJtkRxdfbTu19U2
Bassnectar,Saturday,8,https://open.spotify.com/artist/1JPy5PsJtkhftfdr6saN2i
Flume,Saturday,10,https://open.spotify.com/artist/6nxWCVXbOlEVRexSbLsTer
Shakey Graves,Sunday,9,https://open.spotify.com/artist/1fZpYWNWdL5Z3wrDtISFUH
Twenty One Pilots,Sunday,10,https://open.spotify.com/artist/3YQKmKGau1PzlVlkL1iodx
Awolnation,Sunday,5,https://open.spotify.com/artist/4njdEjTnLfcGImKZu1iSrz
Spoon,Sunday,7,https://open.spotify.com/artist/0K1q0nXQ8is36PzOKAMbNe
Brandi Carlile,Sunday,10,https://open.spotify.com/artist/2sG4zTOLvjKG1PSoOyf5Ej
Florence + The Machine,Sunday,10,https://open.spotify.com/artist/1moxjboGR7GNWYIMWsRjgG
Billy Joel,Sunday,9,https://open.spotify.com/artist/6zFYqv1mOsgBRQbae3JJ9e
