artist,day,rating,link
The Preatures,Thursday,8,
Allah-Las,Thursday,3,
Break Science,Thursday,8,
Banks,Thursday,9,
Omar Souleyman,Thursday,7,
Pusha T,Thursday,5,
Vintage Trouble,Friday,7,
Dr. Dog,Friday,6,
Umphrey's McGee,Friday,7,
Ben Howard,Friday,7,
Janelle Monae,Friday,10,
A Tribe Called Red,Friday,8,
Vampire Weekend,Friday,8,
Phoenix,Friday,6,
Kanye West,Friday,5,
Ice Cube,Friday,6,
Mastodon,Friday,6,
Skrillex,Friday,8,
High and Mighty Brass Band,Saturday,9,
Classixx,Saturday,7,
Cake,Saturday,5,
Cage The Elephant,Saturday,7,
Chromeo,Saturday,6,
Zedd,Saturday,10,
Jack White,Saturday,8,
Superjam: Skrillex...,Saturday,5,
The Glitch Mob,Saturday,9,
Lake Street Dive,Sunday,10,
Yonder Mountain String Band,Sunday,7,
Fitz & The Tantrums,Sunday,6,
Broken Bells,Sunday,8,
The Bluegrass Situation,Sunday,10,
Elton John,Sunday,10,
